MARKET,TF,MEAN,BREAKOUT,RTM,RTM_PERCENT,BO_PERCENT,EXIT_PERCENT,STOP_PERC,sharpe_ratio
BTC-NEO,5,20,True,True,2.0,1.0,10.0,15.0,0.146486935791
BTC-MTL,5,8,True,True,3.0,1.0,1.0,15.0,-0.0156285190389
BTC-ETC,5,20,True,True,3.0,1.0,5.0,15.0,0.236338514531
BTC-QTUM,5,8,True,True,5.0,1.0,1.0,5.0,-0.219752086534
BTC-OMG,5,8,True,True,2.0,1.0,1.0,15.0,0.0471090364373
BTC-ETC,5,20,True,True,2.0,1.0,10.0,10.0,0.189525087853
BTC-MTL,5,20,True,True,5.0,1.0,1.0,10.0,-0.00757710764942
BTC-DASH,5,20,True,True,2.0,1.0,5.0,5.0,0.399491687072
BTC-ETC,5,20,True,True,5.0,1.0,1.0,15.0,0.0610405029981
BTC-MCO,5,8,True,True,2.0,1.0,1.0,10.0,-0.0917749443514
BTC-DASH,5,8,True,True,3.0,1.0,1.0,5.0,-0.174853180033
BTC-OMG,5,20,True,True,2.0,1.0,10.0,15.0,0.264761257196
BTC-STRAT,5,8,True,True,2.0,1.0,5.0,10.0,0.142478913967
BTC-ETH,5,8,True,True,3.0,1.0,5.0,10.0,0.0224595686354
BTC-XMR,5,8,True,True,5.0,1.0,10.0,10.0,0.238853675627
BTC-XVG,5,20,True,True,5.0,1.0,1.0,5.0,-0.130434480472
BTC-MTL,5,8,True,True,5.0,1.0,5.0,15.0,0.143881849961
BTC-QTUM,5,8,True,True,5.0,1.0,5.0,15.0,0.0430816194686
BTC-TRIG,5,8,True,True,2.0,1.0,10.0,15.0,0.580998551488
BTC-NAV,5,8,True,True,5.0,1.0,1.0,5.0,-0.418009595517
BTC-RISE,5,8,True,True,5.0,1.0,10.0,5.0,0.496301055741
BTC-NEO,5,8,True,True,3.0,1.0,1.0,10.0,-0.154074157499
BTC-ETH,5,8,True,True,3.0,1.0,5.0,15.0,0.0525683315577
BTC-BCC,5,8,True,True,5.0,1.0,1.0,15.0,-0.21542605386
BTC-XRP,5,20,True,True,5.0,1.0,5.0,10.0,0.362332931771
BTC-RISE,5,20,True,True,2.0,1.0,5.0,5.0,1.18664521173
BTC-NAV,5,8,True,True,3.0,1.0,5.0,5.0,0.618925286421
BTC-OMG,5,20,True,True,5.0,1.0,10.0,5.0,0.27099736976
BTC-MTL,5,20,True,True,2.0,1.0,5.0,10.0,0.497975925003
BTC-ADX,5,8,True,True,3.0,1.0,5.0,15.0,0.330366954782
BTC-LTC,5,8,True,True,3.0,1.0,1.0,10.0,-0.0909980516011
BTC-XMR,5,20,True,True,2.0,1.0,1.0,5.0,0.818403969068
BTC-QTUM,5,20,True,True,3.0,1.0,10.0,5.0,0.314599088969
BTC-XVG,5,20,True,True,5.0,1.0,10.0,15.0,0.389660814297
BTC-XRP,5,20,True,True,2.0,1.0,1.0,15.0,0.443290734343
BTC-MTL,5,20,True,True,5.0,1.0,5.0,5.0,0.384881879635
BTC-ETC,5,8,True,True,5.0,1.0,10.0,10.0,0.0953323137851
BTC-ADX,5,20,True,True,2.0,1.0,5.0,5.0,0.889175229237
BTC-OMG,5,20,True,True,5.0,1.0,10.0,10.0,0.258408658228
BTC-NEO,5,20,True,True,2.0,1.0,1.0,5.0,0.465596133545
BTC-TRIG,5,20,True,True,3.0,1.0,10.0,15.0,0.846778755862
BTC-TRIG,5,8,True,True,3.0,1.0,10.0,15.0,0.563156786861
BTC-TRIG,5,20,True,True,2.0,1.0,5.0,15.0,1.06563601016
BTC-LTC,5,20,True,True,3.0,1.0,10.0,5.0,0.244866808449
BTC-BCC,5,8,True,True,2.0,1.0,5.0,15.0,0.3181487503
BTC-STRAT,5,20,True,True,3.0,1.0,1.0,10.0,0.0872724941441
